Ano Letivo;RA;Fase;Turma;Nome;Idade;Gênero;Ano ingresso;Instituição de ensino;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP;Mat;Por;Ing;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;Atingiu PV;REC AV
2023;RA-1117;2;2K;Aluno-1117;12;Feminino;2023;Pública;Topázio;8,4;3;9;9,6;7,5;7,3;7,9;10;7,7;6;8,5;7,4;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Promovido com bolsa
2023;RA-914;0;ALFA H - G0/G1;Aluno-914;8;Feminino;2023;Pública;Topázio;8,7;2;10;9,2;7,5;8,7;8,7;10;6,2;9;8,4;8,7;Fase 0 ;0;Boa entrega;Boas notas;Boa integração;Sim;Promovido com bolsa
2024;RA-888;0;ALFA D - G2/G3;Aluno-888;8;Masculino;2023;Pública;Topázio;8,2;3;9;10;6,9;8,5;8,3;5;7,5;9;8;8,5;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido com bolsa
2023;RA-915;0;ALFA H - G0/G1;Aluno-915;12;Feminino;2023;Pública;Topázio;8,6;2;10;8,4;7,5;8,4;8,7;10;7,5;8,1;8,7;8,4;Fase 0 ;0;Boa entrega;Boas notas;Boa integração;Sim;Promovido com bolsa
2024;RA-1009;0;ALFA E - G2/G3;Aluno-1009;9;Masculino;2023;Pública;Agata;6,4;3;8;6,9;2,5;7,5;6,6;5;6,6;10;5;7,5;Fase 1 ;-1;Melhorar entrega;Boas notas;Integra-se mais;Não;Manter atual com bolsa
2024;RA-1013;0;ALFA E - G2/G3;Aluno-1013;8;Masculino;2023;Pública;Quartzo;5,8;3;9;5,7;2,5;7,8;4,7;5;5;8;7,5;7,9;Fase 1 ;-1;Melhorar entrega;Boas notas;Integra-se mais;Não;Manter atual com bolsa
2023;RA-1116;2;2K;Aluno-1116;13;Masculino;2023;Pública;Agata;7;3;9,5;9,2;5;4,9;7,4;5;7,1;3,8;6;4,9;Fase 3 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2023;RA-1115;2;2K;Aluno-1115;12;Feminino;2023;Pública;Agata;6,5;3;0;8,3;7,5;4;7,6;10;7,5;6;2;4;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Manter atual com bolsa
2024;RA-863;0;ALFA E - G2/G3;Aluno-863;8;Masculino;2023;Pública;Quartzo;4,7;3;8,5;3,2;2,5;5,5;4,3;5;4,7;10;1;5,5;Fase 1 ;-1;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter fase atual
2023;RA-1119;2;2L;Aluno-1119;13;Feminino;2023;Pública;Ametista;7,2;3;7,3;9,7;3,8;5,9;8,5;5;7,7;3;8,8;5,9;Fase 3 ;-1;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido fase
2024;RA-862;0;ALFA B - G2/G3;Aluno-862;10;Masculino;2023;Pública;Ametista;7,3;3;9;8,6;7,5;7,5;6,3;5;7,2;10;5;7,5;Fase 2 ;-2;Boa entrega;Boas notas;Integra-se mais;Não;Promovido fase
2024;RA-861;0;ALFA B - G2/G3;Aluno-861;9;Feminino;2023;Pública;Topázio;9;3;9,5;10;7,5;10;9,7;5;8,1;10;10;10;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Sim;Promovido com bolsa
2023;RA-1127;2;2N;Aluno-1127;12;Feminino;2023;Pública;Topázio;8,3;3;8,5;9,9;5;6,9;9;10;8,1;5;8,7;7;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido com bolsa
2023;RA-1213;5;5M;Aluno-1213;12;Feminino;2023;Pública;Quartzo;6;4;0;8,4;2,5;6;7,7;5;7,8;6,7;4,8;6,5;Fase 7 ;-2;Boa entrega;Empenhar mais;Boa integração;Não;Manter atual com bolsa
2023;RA-1135;2;2P;Aluno-1135;11;Masculino;2023;Pública;Ametista;7,5;3;0;9,4;7,5;7,2;7,9;10;8,1;4,8;9,5;7,3;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1214;6;6A;Aluno-1214;16;Masculino;2023;Pública;Topázio;8,4;4;9,6;9,8;6,9;7,4;7,7;10;7,5;8;5;9,3;Fase 6 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Promovido com bolsa
2023;RA-1215;6;6A;Aluno-1215;16;Feminino;2023;Pública;Agata;6,3;4;7,1;5,6;5;4,1;7,2;10;7,5;5;2,7;4,7;Fase 6 ;0;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2023;RA-1216;6;6A;Aluno-1216;19;Feminino;2023;Concluiu o 3º EM;Ametista;7,7;4;9,6;9;5,6;7,9;7,8;5;7,5;8,7;5,3;9,7;Fase 8 ;-2;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-1134;2;2N;Aluno-1134;11;Masculino;2023;Pública;Ametista;7,8;3;8;9,7;3,8;6,8;7,6;10;7,9;5,5;8;6,9;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1133;2;2N;Aluno-1133;10;Feminino;2023;Pública;Topázio;8,6;3;9,5;10;6,3;6,5;9,3;10;8,5;5;8;6,5;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido com bolsa
2023;RA-1217;6;6L;Aluno-1217;17;Feminino;2023;Pública;Agata;6,1;4;0;7,9;5,6;5,9;7,4;5;7,7;7;4;6,7;Fase 7 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2023;RA-1218;6;6L;Aluno-1218;17;Masculino;2023;Pública;Agata;6,8;4;7,5;9,2;5;5,3;7,1;5;7,5;6,7;3,5;5,7;Fase 7 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2023;RA-1219;6;6L;Aluno-1219;12;Feminino;2023;Pública;Ametista;7,2;4;8,8;6,5;5,6;6,3;7,4;10;7,3;7,2;5,5;6,3;Fase 6 ;0;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2023;RA-1220;6;6L;Aluno-1220;17;Feminino;2023;Pública;Agata;6,5;4;0;9;5;6,8;7,6;5;7,8;8,8;5,3;6,3;Fase 7 ;-1;Boa entrega;Empenhar mais;Boa integração;Não;Manter atual com bolsa
2023;RA-1221;7;7A;Aluno-1221;22;Feminino;2023;Concluiu o 3º EM;Topázio;8;4;9,2;9,1;6,3;8,7;8,1;5;8;8,2;8;10;Fase 8 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-1222;7;7A;Aluno-1222;12;Feminino;2023;Nenhuma das opções acima;Ametista;7;4;7,1;10;5,6;6,8;6;5;6,9;5;6,5;9;Fase 8 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2023;RA-1223;7;7A;Aluno-1223;12;Masculino;2023;Pública;Topázio;8,2;4;8,8;9,3;5;9;7,3;10;6,9;9,5;8,3;9,3;Fase 7 ;0;Boa entrega;Boas notas;Integra-se mais;Não;Promovido com bolsa
2023;RA-1224;7;7A;Aluno-1224;12;Masculino;2023;Concluiu o 3º EM;Ametista;7,6;4;8,3;9,4;5;8;7,6;5;7,1;8,2;6,3;9,5;Fase 8 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-1225;7;7E;Aluno-1225;18;Feminino;2023;Concluiu o 3º EM;Agata;6,1;0;7,5;7,5;2,5;5,2;7,4;5;7,4;6,2;6,4;6,6;Fase 8 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2023;RA-1226;7;7E;Aluno-1226;12;Feminino;2023;Privada *Parcerias com Bolsa 100%;Topázio;8,4;0;9,2;9,4;7,5;6,8;8,4;10;7,8;6,2;6,4;6,6;Fase 6 ;1;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido com bolsa
2023;RA-1227;7;7E;Aluno-1227;16;Feminino;2023;Privada - Programa de Apadrinhamento;Ametista;7,4;0;9,2;8,6;2,5;6,2;7,8;10;7,7;6,2;6,4;6,6;Fase 6 ;1;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1228;7;7E;Aluno-1228;17;Feminino;2023;Privada - Programa de Apadrinhamento;Ametista;7,2;0;7,5;8,6;2,5;7,4;7,3;10;7,2;6,2;6,4;6,6;Fase 7 ;0;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2023;RA-1229;7;7E;Aluno-1229;12;Feminino;2023;Privada - Programa de Apadrinhamento;Ametista;8,1;0;8,3;8;7,5;7,4;7,7;10;7,7;6,2;6,4;6,6;Fase 6 ;1;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1273;8;8E;Aluno-1273;17;Feminino;2023;Privada - Pagamento por *Empresa Parceira;Quartzo;4,7;0;8,4;0;0;6,4;7,2;10;2,5;6,2;6,4;6,6;Fase 7 ;1;Melhorar entrega;Empenhar mais;Integra-se mais;Não;Manter fase atual
2023;RA-1132;2;2N;Aluno-1132;12;Masculino;2023;Pública;Agata;6,8;3;10;6,3;6,3;5,8;7,5;5;7,9;5,2;6,3;5,9;Fase 3 ;-1;Melhorar entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1131;2;2N;Aluno-1131;12;Feminino;2023;Pública;Topázio;8,3;3;7,9;9,9;5;9,1;9,3;5;8,8;8,3;9,8;9,2;Fase 3 ;-1;Boa entrega;Boas notas;Boa integração;Sim;Promovido com bolsa
2023;RA-1130;2;2N;Aluno-1130;11;Masculino;2023;Pública;Topázio;8;3;8,5;8,4;7,5;7,3;7,5;10;7,7;6,3;8,2;7,4;Fase 2 ;0;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2024;RA-868;0;ALFA A - G0/G1;Aluno-868;8;Masculino;2023;Pública;Ametista;7,2;3;8;9,8;3,8;7;7,2;5;6,9;8;6;7;Fase 1 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
